Id,ImageName,CareSymbolTag,PredictedOutcome
1,train_1,bleach_with_non_chlorine,0
2,train_1,do_not_bleach,1
3,train_1,do_not_dryclean,0
4,train_1,do_not_tumble_dry,0
5,train_1,do_not_wash,0
6,train_1,double_bar,0
7,train_1,dryclean,0
8,train_1,low_temperature_tumble_dry,1
9,train_1,normal_temperature_tumble_dry,0
10,train_1,single_bar,1
11,train_1,tumble_dry,0
12,train_1,wash_30,1
13,train_1,wash_40,0
14,train_1,wash_60,0
15,train_1,wash_hand,0
16,train_2,bleach_with_non_chlorine,0
17,train_2,do_not_bleach,1
18,train_2,do_not_dryclean,0
19,train_2,do_not_tumble_dry,1
20,train_2,do_not_wash,0
21,train_2,double_bar,0
22,train_2,dryclean,0
23,train_2,low_temperature_tumble_dry,0
24,train_2,normal_temperature_tumble_dry,0
25,train_2,single_bar,0
26,train_2,tumble_dry,0
27,train_2,wash_30,1
28,train_2,wash_40,0
29,train_2,wash_60,0
30,train_2,wash_hand,0
31,train_3,bleach_with_non_chlorine,0
32,train_3,do_not_bleach,1
33,train_3,do_not_dryclean,1
34,train_3,do_not_tumble_dry,1
35,train_3,do_not_wash,0
36,train_3,double_bar,0
37,train_3,dryclean,0
38,train_3,low_temperature_tumble_dry,0
39,train_3,normal_temperature_tumble_dry,0
40,train_3,single_bar,0
41,train_3,tumble_dry,0
42,train_3,wash_30,1
43,train_3,wash_40,0
44,train_3,wash_60,0
45,train_3,wash_hand,0
46,train_4,bleach_with_non_chlorine,0
47,train_4,do_not_bleach,1
48,train_4,do_not_dryclean,0
49,train_4,do_not_tumble_dry,1
50,train_4,do_not_wash,0
51,train_4,double_bar,0
52,train_4,dryclean,1
53,train_4,low_temperature_tumble_dry,0
54,train_4,normal_temperature_tumble_dry,0
55,train_4,single_bar,0
56,train_4,tumble_dry,0
57,train_4,wash_30,1
58,train_4,wash_40,0
59,train_4,wash_60,0
60,train_4,wash_hand,0
61,train_5,bleach_with_non_chlorine,0
62,train_5,do_not_bleach,1
63,train_5,do_not_dryclean,1
64,train_5,do_not_tumble_dry,1
65,train_5,do_not_wash,0
66,train_5,double_bar,0
67,train_5,dryclean,0
68,train_5,low_temperature_tumble_dry,0
69,train_5,normal_temperature_tumble_dry,0
70,train_5,single_bar,0
71,train_5,tumble_dry,0
72,train_5,wash_30,0
73,train_5,wash_40,0
74,train_5,wash_60,0
75,train_5,wash_hand,1
76,train_6,bleach_with_non_chlorine,0
77,train_6,do_not_bleach,1
78,train_6,do_not_dryclean,1
79,train_6,do_not_tumble_dry,0
80,train_6,do_not_wash,0
81,train_6,double_bar,0
82,train_6,dryclean,0
83,train_6,low_temperature_tumble_dry,1
84,train_6,normal_temperature_tumble_dry,0
85,train_6,single_bar,0
86,train_6,tumble_dry,0
87,train_6,wash_30,1
88,train_6,wash_40,0
89,train_6,wash_60,0
90,train_6,wash_hand,0
91,train_7,bleach_with_non_chlorine,0
92,train_7,do_not_bleach,1
93,train_7,do_not_dryclean,1
94,train_7,do_not_tumble_dry,1
95,train_7,do_not_wash,0
96,train_7,double_bar,0
97,train_7,dryclean,0
98,train_7,low_temperature_tumble_dry,0
99,train_7,normal_temperature_tumble_dry,0
100,train_7,single_bar,1
101,train_7,tumble_dry,0
102,train_7,wash_30,1
103,train_7,wash_40,0
104,train_7,wash_60,0
105,train_7,wash_hand,0
106,train_8,bleach_with_non_chlorine,0
107,train_8,do_not_bleach,1
108,train_8,do_not_dryclean,0
109,train_8,do_not_tumble_dry,0
110,train_8,do_not_wash,0
111,train_8,double_bar,0
112,train_8,dryclean,0
113,train_8,low_temperature_tumble_dry,0
114,train_8,normal_temperature_tumble_dry,0
115,train_8,single_bar,0
116,train_8,tumble_dry,0
117,train_8,wash_30,1
118,train_8,wash_40,0
119,train_8,wash_60,0
120,train_8,wash_hand,0
121,train_9,bleach_with_non_chlorine,0
122,train_9,do_not_bleach,1
123,train_9,do_not_dryclean,0
124,train_9,do_not_tumble_dry,1
125,train_9,do_not_wash,0
126,train_9,double_bar,0
127,train_9,dryclean,1
128,train_9,low_temperature_tumble_dry,0
129,train_9,normal_temperature_tumble_dry,0
130,train_9,single_bar,0
131,train_9,tumble_dry,0
132,train_9,wash_30,1
133,train_9,wash_40,0
134,train_9,wash_60,0
135,train_9,wash_hand,0
136,train_10,bleach_with_non_chlorine,0
137,train_10,do_not_bleach,1
138,train_10,do_not_dryclean,0
139,train_10,do_not_tumble_dry,1
140,train_10,do_not_wash,0
141,train_10,double_bar,0
142,train_10,dryclean,1
143,train_10,low_temperature_tumble_dry,0
144,train_10,normal_temperature_tumble_dry,0
145,train_10,single_bar,0
146,train_10,tumble_dry,0
147,train_10,wash_30,1
148,train_10,wash_40,0
149,train_10,wash_60,0
150,train_10,wash_hand,0
151,train_11,bleach_with_non_chlorine,0
152,train_11,do_not_bleach,1
153,train_11,do_not_dryclean,1
154,train_11,do_not_tumble_dry,1
155,train_11,do_not_wash,0
156,train_11,double_bar,0
157,train_11,dryclean,0
158,train_11,low_temperature_tumble_dry,0
159,train_11,normal_temperature_tumble_dry,0
160,train_11,single_bar,1
161,train_11,tumble_dry,0
162,train_11,wash_30,1
163,train_11,wash_40,0
164,train_11,wash_60,0
165,train_11,wash_hand,0
166,train_12,bleach_with_non_chlorine,0
167,train_12,do_not_bleach,1
168,train_12,do_not_dryclean,1
169,train_12,do_not_tumble_dry,1
170,train_12,do_not_wash,0
171,train_12,double_bar,0
172,train_12,dryclean,0
173,train_12,low_temperature_tumble_dry,0
174,train_12,normal_temperature_tumble_dry,0
175,train_12,single_bar,1
176,train_12,tumble_dry,0
177,train_12,wash_30,1
178,train_12,wash_40,0
179,train_12,wash_60,0
180,train_12,wash_hand,0
181,train_13,bleach_with_non_chlorine,0
182,train_13,do_not_bleach,1
183,train_13,do_not_dryclean,0
184,train_13,do_not_tumble_dry,0
185,train_13,do_not_wash,0
186,train_13,double_bar,0
187,train_13,dryclean,1
188,train_13,low_temperature_tumble_dry,0
189,train_13,normal_temperature_tumble_dry,0
190,train_13,single_bar,0
191,train_13,tumble_dry,0
192,train_13,wash_30,1
193,train_13,wash_40,0
194,train_13,wash_60,0
195,train_13,wash_hand,0
196,train_14,bleach_with_non_chlorine,0
197,train_14,do_not_bleach,1
198,train_14,do_not_dryclean,0
199,train_14,do_not_tumble_dry,1
200,train_14,do_not_wash,0
201,train_14,double_bar,0
202,train_14,dryclean,1
203,train_14,low_temperature_tumble_dry,0
204,train_14,normal_temperature_tumble_dry,0
205,train_14,single_bar,1
206,train_14,tumble_dry,0
207,train_14,wash_30,0
208,train_14,wash_40,1
209,train_14,wash_60,0
210,train_14,wash_hand,0
211,train_15,bleach_with_non_chlorine,0
212,train_15,do_not_bleach,1
213,train_15,do_not_dryclean,0
214,train_15,do_not_tumble_dry,1
215,train_15,do_not_wash,0
216,train_15,double_bar,0
217,train_15,dryclean,1
218,train_15,low_temperature_tumble_dry,0
219,train_15,normal_temperature_tumble_dry,0
220,train_15,single_bar,1
221,train_15,tumble_dry,0
222,train_15,wash_30,1
223,train_15,wash_40,0
224,train_15,wash_60,0
225,train_15,wash_hand,0
226,train_16,bleach_with_non_chlorine,0
227,train_16,do_not_bleach,1
228,train_16,do_not_dryclean,1
229,train_16,do_not_tumble_dry,0
230,train_16,do_not_wash,0
231,train_16,double_bar,1
232,train_16,dryclean,0
233,train_16,low_temperature_tumble_dry,0
234,train_16,normal_temperature_tumble_dry,0
235,train_16,single_bar,0
236,train_16,tumble_dry,1
237,train_16,wash_30,0
238,train_16,wash_40,1
239,train_16,wash_60,0
240,train_16,wash_hand,0
241,train_17,bleach_with_non_chlorine,0
242,train_17,do_not_bleach,1
243,train_17,do_not_dryclean,0
244,train_17,do_not_tumble_dry,0
245,train_17,do_not_wash,0
246,train_17,double_bar,0
247,train_17,dryclean,1
248,train_17,low_temperature_tumble_dry,1
249,train_17,normal_temperature_tumble_dry,0
250,train_17,single_bar,1
251,train_17,tumble_dry,0
252,train_17,wash_30,1
253,train_17,wash_40,0
254,train_17,wash_60,0
255,train_17,wash_hand,0
256,train_18,bleach_with_non_chlorine,0
257,train_18,do_not_bleach,1
258,train_18,do_not_dryclean,0
259,train_18,do_not_tumble_dry,1
260,train_18,do_not_wash,0
261,train_18,double_bar,0
262,train_18,dryclean,1
263,train_18,low_temperature_tumble_dry,0
264,train_18,normal_temperature_tumble_dry,0
265,train_18,single_bar,1
266,train_18,tumble_dry,0
267,train_18,wash_30,0
268,train_18,wash_40,1
269,train_18,wash_60,0
270,train_18,wash_hand,0
271,train_19,bleach_with_non_chlorine,0
272,train_19,do_not_bleach,1
273,train_19,do_not_dryclean,1
274,train_19,do_not_tumble_dry,1
275,train_19,do_not_wash,0
276,train_19,double_bar,0
277,train_19,dryclean,0
278,train_19,low_temperature_tumble_dry,0
279,train_19,normal_temperature_tumble_dry,0
280,train_19,single_bar,0
281,train_19,tumble_dry,0
282,train_19,wash_30,1
283,train_19,wash_40,0
284,train_19,wash_60,0
285,train_19,wash_hand,0
286,train_20,bleach_with_non_chlorine,0
287,train_20,do_not_bleach,1
288,train_20,do_not_dryclean,1
289,train_20,do_not_tumble_dry,1
290,train_20,do_not_wash,0
291,train_20,double_bar,0
292,train_20,dryclean,0
293,train_20,low_temperature_tumble_dry,0
294,train_20,normal_temperature_tumble_dry,0
295,train_20,single_bar,0
296,train_20,tumble_dry,0
297,train_20,wash_30,1
298,train_20,wash_40,0
299,train_20,wash_60,0
300,train_20,wash_hand,0
301,train_21,bleach_with_non_chlorine,1
302,train_21,do_not_bleach,0
303,train_21,do_not_dryclean,1
304,train_21,do_not_tumble_dry,0
305,train_21,do_not_wash,0
306,train_21,double_bar,0
307,train_21,dryclean,0
308,train_21,low_temperature_tumble_dry,1
309,train_21,normal_temperature_tumble_dry,0
310,train_21,single_bar,0
311,train_21,tumble_dry,0
312,train_21,wash_30,1
313,train_21,wash_40,0
314,train_21,wash_60,0
315,train_21,wash_hand,0
316,train_22,bleach_with_non_chlorine,0
317,train_22,do_not_bleach,1
318,train_22,do_not_dryclean,1
319,train_22,do_not_tumble_dry,1
320,train_22,do_not_wash,0
321,train_22,double_bar,0
322,train_22,dryclean,0
323,train_22,low_temperature_tumble_dry,0
324,train_22,normal_temperature_tumble_dry,0
325,train_22,single_bar,0
326,train_22,tumble_dry,0
327,train_22,wash_30,1
328,train_22,wash_40,0
329,train_22,wash_60,0
330,train_22,wash_hand,0
331,train_23,bleach_with_non_chlorine,0
332,train_23,do_not_bleach,1
333,train_23,do_not_dryclean,1
334,train_23,do_not_tumble_dry,1
335,train_23,do_not_wash,0
336,train_23,double_bar,0
337,train_23,dryclean,0
338,train_23,low_temperature_tumble_dry,0
339,train_23,normal_temperature_tumble_dry,0
340,train_23,single_bar,0
341,train_23,tumble_dry,0
342,train_23,wash_30,1
343,train_23,wash_40,0
344,train_23,wash_60,0
345,train_23,wash_hand,0
346,train_24,bleach_with_non_chlorine,0
347,train_24,do_not_bleach,1
348,train_24,do_not_dryclean,0
349,train_24,do_not_tumble_dry,1
350,train_24,do_not_wash,0
351,train_24,double_bar,0
352,train_24,dryclean,1
353,train_24,low_temperature_tumble_dry,0
354,train_24,normal_temperature_tumble_dry,0
355,train_24,single_bar,1
356,train_24,tumble_dry,0
357,train_24,wash_30,0
358,train_24,wash_40,1
359,train_24,wash_60,0
360,train_24,wash_hand,0
361,train_25,bleach_with_non_chlorine,0
362,train_25,do_not_bleach,1
363,train_25,do_not_dryclean,0
364,train_25,do_not_tumble_dry,0
365,train_25,do_not_wash,0
366,train_25,double_bar,0
367,train_25,dryclean,1
368,train_25,low_temperature_tumble_dry,0
369,train_25,normal_temperature_tumble_dry,0
370,train_25,single_bar,0
371,train_25,tumble_dry,0
372,train_25,wash_30,0
373,train_25,wash_40,1
374,train_25,wash_60,0
375,train_25,wash_hand,0
376,train_26,bleach_with_non_chlorine,0
377,train_26,do_not_bleach,1
378,train_26,do_not_dryclean,0
379,train_26,do_not_tumble_dry,0
380,train_26,do_not_wash,0
381,train_26,double_bar,0
382,train_26,dryclean,1
383,train_26,low_temperature_tumble_dry,0
384,train_26,normal_temperature_tumble_dry,0
385,train_26,single_bar,1
386,train_26,tumble_dry,0
387,train_26,wash_30,0
388,train_26,wash_40,1
389,train_26,wash_60,0
390,train_26,wash_hand,0
391,train_27,bleach_with_non_chlorine,0
392,train_27,do_not_bleach,1
393,train_27,do_not_dryclean,1
394,train_27,do_not_tumble_dry,1
395,train_27,do_not_wash,0
396,train_27,double_bar,0
397,train_27,dryclean,0
398,train_27,low_temperature_tumble_dry,0
399,train_27,normal_temperature_tumble_dry,0
400,train_27,single_bar,0
401,train_27,tumble_dry,0
402,train_27,wash_30,1
403,train_27,wash_40,0
404,train_27,wash_60,0
405,train_27,wash_hand,0
406,train_28,bleach_with_non_chlorine,0
407,train_28,do_not_bleach,1
408,train_28,do_not_dryclean,1
409,train_28,do_not_tumble_dry,1
410,train_28,do_not_wash,0
411,train_28,double_bar,0
412,train_28,dryclean,0
413,train_28,low_temperature_tumble_dry,0
414,train_28,normal_temperature_tumble_dry,0
415,train_28,single_bar,0
416,train_28,tumble_dry,0
417,train_28,wash_30,0
418,train_28,wash_40,1
419,train_28,wash_60,0
420,train_28,wash_hand,0
421,train_29,bleach_with_non_chlorine,0
422,train_29,do_not_bleach,1
423,train_29,do_not_dryclean,1
424,train_29,do_not_tumble_dry,0
425,train_29,do_not_wash,0
426,train_29,double_bar,0
427,train_29,dryclean,0
428,train_29,low_temperature_tumble_dry,1
429,train_29,normal_temperature_tumble_dry,0
430,train_29,single_bar,1
431,train_29,tumble_dry,0
432,train_29,wash_30,0
